"gene_name","stat"
"KCNAB2",1.61632606719181
"OST4",1.61589616189163
"LOXL3",1.61516347326554
"KLHL18",1.61470322516174
"XPO1",1.61470300806459
"MFN2",1.61206978717118
"STX6",1.61145593781794
"HS6ST1",1.60998297565353
"RPS14P4",1.60362313184489
"NONOP2",1.60350982730409
"SLC41A1",1.60269330531931
"COL6A3",1.60151276311614
"MRPS21",1.59829534043886
"YRDC",1.59802337185878
"PMVK",1.59596725426764
"KIAA1522",1.59458382274678
"PARS2",1.5939388739955
"CCDC150",1.59075691153401
"NBPF24",1.59011892728085
"SLC26A6",1.5872899602766
"SAMD11",1.58675726458286
"DAG1",1.58643242132899
"CROCCP2",1.58529962941293
"GDI2",1.58409598223232
"ADD2",1.58106247502876
"UGGT1",1.57749555058669
"RAB42",1.57590104071236
"TEX264",1.5746539732065
"ARPC4",1.57443201214053
"FAAH",1.57378876674618
"DFFA",1.57030715445932
"LYPD1",1.56576973072563
"NRP2",1.56521769913495
"FAM20B",1.56154113404869
"CIDECP",1.55743795559223
"NDUFB1",1.55659983241068
"HES4",1.55568458228974
"NOP58",1.55306983301656
"RPLP0",1.55264338000192
"HS1BP3",1.5522045643951
"SMG7",1.5521658388981
"GEMIN8P4",1.55086667261712
"TBCE",1.55026064423064
"SLC35F6",1.54740577385623
"SNORD51",1.54615328022937
"IKZF2",1.54581060435897
"ATP5G3",1.54531265768456
"C1orf116",1.5444400018604
"CLIC4",1.54099090587085
"GNB1",1.53955326130459
"RP11-496H15.2",1.538796813963
"TP53BP2",1.53778421890514
"HDAC11",1.53585477616493
"PPM1J",1.53506306907061
"SRP9",1.53351689037312
"KPNA6",1.53190463724842
"ZFAND2B",1.52983589120524
"TADA1",1.5284527628505
"CDC20P1",1.52715664045878
"SFMBT1",1.52624912381454
"DUSP23",1.52495983444752
"NAV1",1.52416565070934
"THAP4",1.52338734461211
"SDHC",1.51554228441755
"AC068491.3",1.51349221245058
"SPATA17",1.51301606586302
"NBPF14",1.51235838672669
"RAP1GAP",1.5119122010838
"SNRNP200",1.51175953982428
"RP11-254B13.1",1.51115286538942
"MBOAT2",1.51072358881121
"ILKAP",1.50890849265087
"KRT18P15",1.50846654342913
"PNKD",1.50530273552143
"AC112721.1",1.49929671658302
"EDN2",1.4928029243028
"S100PBP",1.48831711994027
"GLTPD1",1.48818269218752
"HSPA7",1.48322830084149
"SLC6A11",1.48064021944141
"SUPT7L",1.47999111125324
"HYAL3",1.47719237273563
"XPR1",1.47505678734113
"F5",1.4717045051902
"BANF1",1.46945775393258
"PARP3",1.46744940660165
"RP11-466F5.3",1.46670369506931
"TRIP12",1.46194821338593
"FNDC5",1.46183490027451
"RN7SKP203",1.46014260621151
"ZBTB47",1.4564562970003
"PPIA",1.45612164202666
"NGEF",1.45484510838489
"PPM1G",1.45482671426909
"MIR1301",1.45418848017602
"HOOK1",1.45297410282509
"MPV17",1.45250603009882
"RP11-206L10.9",1.45248721451339
"SATB2",1.45042307228672
"SNAP47",1.44941319399441
"LMO4",1.44901665608933
"SPCS2",1.44709814634135
"FTH1P3",1.44701579597012
"TAF1A",1.44367894864109
"AP3S1",1.44161318211105
"RP11-46A10.6",1.43996969752702
"PHKA1",1.43731496835853
"ITGAV",1.43470403809838
"TMEM200B",1.43423700742285
"BTF3L4P2",1.43414347583104
"ARMC9",1.43344222974036
"SEC13P1",1.43135119246626
"NUCKS1",1.42848624368004
"FNBP1L",1.42765972903116
"LRRC42",1.42736673238598
"ACBD3",1.42641662269105
"TMEM185B",1.42257733777343
"UBE2F",1.42086184107434
"EIF1AXP1",1.41927617302311
"DNAH14",1.41925244561219
"WDR47",1.41832784315389
"SUSD4",1.41743386647217
"CD84",1.41652144672612
"EVA1B",1.41611258498447
"RPEP3",1.41448856445255
"RN7SL4P",1.41331533828685
"RP11-397P13.7",1.41316693960423
"PSEN2",1.40724127656539
"SPATS2L",1.40440490335643
"UBAP2L",1.40210677067852
"POMGNT1",1.39731602110597
"RP11-480I12.5",1.39682215551444
"ABHD14B",1.3965901179163
"CLEC4F",1.3965573043035
"RPS4XP5",1.39452883255658
"CCSAP",1.39344992829069
"DENND1B",1.39082362296416
"RABIF",1.39003622604895
"SDC3",1.38971095304285
"DTYMK",1.38869652149553
"RP11-572P18.1",1.38627612649675
"AC013268.3",1.38590032966357
"SNORA77",1.38487038433227
"APOA1BP",1.38486077186508
"TOP1",1.38198341733212
"COX20P1",1.38108514474298
"AKIRIN1",1.38068728858587
"ORC1",1.38014258708605
"SH3BGRL3",1.37975261258129
"COL8A2",1.37964066374449
"ARL8A",1.37869053835532
"HSPB11",1.37815296991841
"DUSP12",1.37693524980139
"RP11-494K3.2",1.37688930633478
"RPL18AP3",1.37552065313778
